ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
5,1,1.00,1,0.00,13.67,13.56,0.0,0.00,0.0,0.0,,0.0
5,2,1.00,1,0.00,11.91,11.81,0.0,0.00,0.0,0.0,,0.0
5,3,1.00,1,0.00,10.36,10.28,0.0,0.00,0.0,0.0,,0.0
5,4,1.00,1,0.00,9.00,8.93,0.0,0.00,0.0,0.0,,0.0
5,5,1.00,1,0.00,7.81,7.75,0.0,0.00,0.0,0.0,,0.0
5,6,1.00,1,0.00,6.77,6.71,0.0,0.00,0.0,0.0,,0.0
5,7,1.00,1,6.00,10.70,10.65,0.0,0.00,0.0,0.0,,0.0
5,8,1.00,1,98.00,86.73,84.95,-14000.0,0.00,0.0,-448069.98,,-14324.16938
5,9,1.00,1,209.00,180.76,178.90,-14000.0,0.00,0.0,-34182340.94,,-1060086.5691399998
5,10,1.00,1,103.00,98.57,96.68,-14000.0,0.00,0.0,-6677171.39,,-207426.31309
5,11,1.00,1,425.00,362.97,361.06,-14000.0,0.00,0.0,-1278080047.53,,-39620915.47343
5,12,1.00,1,395.00,350.02,348.09,-14000.0,0.00,0.0,-768365842.92,,-23819775.13052
5,13,1.00,1,413.00,370.32,368.36,-14000.0,0.00,0.0,-936929865.95,,-29045259.84445
5,14,1.00,1,384.00,352.02,350.05,-14000.0,0.00,0.0,-666947792.64,,-20675815.57184
5,15,1.00,1,395.00,364.72,362.74,-14000.0,0.00,0.0,-1023016461.51,,-31713944.306810003
5,16,1.00,1,322.00,308.54,306.55,-14000.0,0.00,0.0,-356375492.94,,-11048074.28114
5,17,1.00,1,201.00,209.73,207.73,-14000.0,0.00,0.0,-37767390.91,,-1171223.1182099998
5,18,1.00,1,84.00,110.81,108.79,-14000.0,0.00,109745.99,0.0,,2968.12569
5,19,1.00,1,0.00,38.44,38.14,0.0,0.00,0.0,-0.0,,0.0
5,20,1.00,1,0.00,32.36,32.14,0.0,0.00,0.0,0.0,,0.0
5,21,1.00,1,0.00,28.19,27.99,0.0,0.00,0.0,0.0,,0.0
5,22,1.00,1,0.00,24.61,24.43,0.0,0.00,0.0,0.0,,0.0
5,23,1.00,1,0.00,21.49,21.34,0.0,0.00,0.0,0.0,,0.0
5,24,1.00,1,0.00,18.76,18.63,0.0,0.00,0.0,0.0,,0.0
5,1,2.00,1,0.00,16.38,16.26,0.0,0.00,0.0,0.0,,0.0
5,2,2.00,1,0.00,14.29,14.19,0.0,0.00,0.0,0.0,,0.0
5,3,2.00,1,0.00,12.46,12.37,0.0,0.00,0.0,0.0,,0.0
5,4,2.00,1,0.00,10.85,10.77,0.0,0.00,0.0,0.0,,0.0
5,5,2.00,1,0.00,9.44,9.37,0.0,0.00,0.0,0.0,,0.0
5,6,2.00,1,0.00,8.20,8.14,0.0,0.00,0.0,0.0,,0.0
5,7,2.00,1,1.00,7.92,7.86,0.0,0.00,0.0,0.0,,0.0
5,8,2.00,1,21.00,24.22,25.92,14000.0,0.00,3588.9,0.0,,545.2559
5,9,2.00,1,99.00,88.39,86.68,-14000.0,0.00,0.0,-436656.96,,-13970.36576
5,10,2.00,1,158.00,139.35,137.53,-14000.0,0.00,0.0,-10103373.77,,-313638.58687
5,11,2.00,1,198.00,175.48,173.62,-14000.0,0.00,0.0,-25832618.36,,-801245.1691599999
5,12,2.00,1,200.00,180.55,178.66,-14000.0,0.00,0.0,-27318348.79,,-847302.81249
5,13,2.00,1,327.00,287.62,285.71,-14000.0,0.00,0.0,-291889050.15,,-9048994.55465
5,14,2.00,1,262.00,240.68,238.74,-14000.0,0.00,0.0,-98528697.62,,-3054823.6262200004
5,15,2.00,1,411.00,365.28,363.33,-14000.0,0.00,0.0,-1014307332.26,,-31443961.30006
5,16,2.00,1,323.00,300.41,298.44,-14000.0,0.00,0.0,-359925505.76,,-11158124.67856
5,17,2.00,1,155.00,163.98,162.00,-14000.0,0.00,0.0,-8629999.31,,-267963.97861
5,18,2.00,1,25.00,53.75,51.76,-14000.0,0.00,103457.07,0.0,,2773.1691700000006
5,19,2.00,1,0.00,28.79,28.51,0.0,0.00,0.0,0.0,,0.0
5,20,2.00,1,0.00,24.68,24.48,0.0,0.00,0.0,0.0,,0.0
5,21,2.00,1,0.00,21.49,21.32,0.0,0.00,0.0,0.0,,0.0
5,22,2.00,1,0.00,18.74,18.58,0.0,0.00,0.0,0.0,,0.0
5,23,2.00,1,0.00,16.34,16.20,0.0,0.00,0.0,0.0,,0.0
5,24,2.00,1,0.00,14.24,14.12,0.0,0.00,0.0,0.0,,0.0
5,1,3.00,1,0.00,12.40,12.30,0.0,0.00,0.0,0.0,,0.0
5,2,3.00,1,0.00,10.79,10.70,0.0,0.00,0.0,0.0,,0.0
5,3,3.00,1,0.00,9.38,9.30,0.0,0.00,0.0,0.0,,0.0
5,4,3.00,1,0.00,8.14,8.07,0.0,0.00,0.0,0.0,,0.0
5,5,3.00,1,0.00,7.06,6.99,0.0,0.00,0.0,0.0,,0.0
5,6,3.00,1,0.00,6.10,6.04,0.0,0.00,0.0,0.0,,0.0
5,7,3.00,1,7.00,10.92,10.87,0.0,0.00,0.0,0.0,,0.0
5,8,3.00,1,72.00,64.33,64.28,0.0,0.00,0.0,0.0,,0.0
5,9,3.00,1,126.00,109.96,109.92,0.0,0.00,0.0,0.0,,0.0
5,10,3.00,1,197.00,170.23,170.20,0.0,0.00,0.0,-0.0,,0.0
5,11,3.00,1,174.00,156.02,155.98,0.0,0.00,0.0,-0.0,,0.0
5,12,3.00,1,177.00,160.48,160.45,0.0,0.00,0.0,-0.0,,0.0
5,13,3.00,1,243.00,215.99,215.96,0.0,0.00,0.0,-0.0,,0.0
5,14,3.00,1,458.00,394.14,394.12,0.0,0.00,0.0,-0.0,,0.0
5,15,3.00,1,275.00,256.99,256.97,0.0,0.00,0.0,-0.0,,0.0
5,16,3.00,1,309.00,284.44,284.42,0.0,0.00,0.0,-0.0,,0.0
5,17,3.00,1,108.00,125.27,125.26,0.0,0.00,0.0,-0.0,,0.0
