ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
1,1,1.0,1,15.57,23.71,23.03,0.0,0.0,0.0,0.0,,0.0
1,2,1.0,1,15.24,22.25,21.66,0.0,0.0,0.0,-0.0,,0.0
1,3,1.0,1,15.03,21.04,20.52,0.0,0.0,0.0,-0.0,,0.0
1,4,1.0,1,14.93,20.06,19.61,0.0,0.0,0.0,-0.0,,0.0
1,5,1.0,1,14.67,19.08,18.69,0.0,0.0,0.0,-0.0,,0.0
1,6,1.0,1,14.23,18.07,17.72,0.0,0.0,0.0,-0.0,,0.0
1,7,1.0,1,14.09,17.37,17.07,0.0,238.89,0.0,-0.0,,0.0
1,8,1.0,1,14.97,21.15,21.78,4224.78,24530.37,0.0,-747.62,,107.79195999999999
1,9,1.0,1,17.18,26.62,26.46,0.0,59218.11,0.0,0.0,,0.0
1,10,1.0,1,19.91,32.9,26.78,-28431.8,94699.99,0.0,-1464.5,,-926.7852999999999
1,11,1.0,1,22.53,38.47,27.68,-49000.0,121864.63,0.0,-2428.96,,-1594.29776
1,12,1.0,1,24.66,40.97,29.77,-49000.0,123632.25,0.0,-1017.63,,-1550.54653
1,13,1.0,1,26.29,43.44,32.03,-49000.0,129383.33,0.0,0.0,,-1519.0
1,14,1.0,1,27.34,45.66,34.08,-49000.0,136829.12,0.0,0.0,,-1519.0
1,15,1.0,1,27.7,65.41,53.68,-49000.0,305817.27,5539.02,0.0,,-1347.29038
1,16,1.0,1,27.41,83.05,71.19,-49000.0,448333.54,28007.09,0.0,,-650.78021
1,17,1.0,1,26.88,93.31,81.34,-49000.0,522409.97,51282.99,0.0,,70.77268999999994
1,18,1.0,1,25.64,96.48,84.41,-49000.0,538989.75,59815.92,0.0,,335.29351999999994
1,19,1.0,1,23.76,91.95,89.91,0.0,464830.11,0.0,0.0,,0.0
1,20,1.0,1,21.05,71.59,70.18,0.0,302730.02,0.0,0.0,,0.0
1,21,1.0,1,19.11,33.19,31.98,0.0,0.0,0.0,-0.0,,0.0
1,22,1.0,1,17.93,29.19,28.14,0.0,0.0,0.0,-0.0,,0.0
1,23,1.0,1,17.19,26.88,25.97,0.0,0.0,0.0,0.0,,0.0
1,24,1.0,1,16.56,24.96,24.16,0.0,0.0,0.0,0.0,,0.0
1,1,2.0,1,15.92,23.24,22.55,0.0,0.0,0.0,-0.0,,0.0
1,2,2.0,1,15.61,21.91,21.3,0.0,0.0,0.0,-0.0,,0.0
1,3,2.0,1,15.51,20.88,20.35,0.0,0.0,0.0,-0.0,,0.0
1,4,2.0,1,15.36,19.94,19.48,0.0,0.0,0.0,-0.0,,0.0
1,5,2.0,1,15.16,19.08,18.67,0.0,0.0,0.0,-0.0,,0.0
1,6,2.0,1,14.75,18.15,17.8,0.0,0.0,0.0,-0.0,,0.0
1,7,2.0,1,14.72,17.59,17.28,0.0,238.89,0.0,-0.0,,0.0
1,8,2.0,1,15.94,21.7,21.78,1629.73,24530.37,0.0,-1372.63,,7.970099999999997
1,9,2.0,1,18.19,27.26,26.78,-1304.19,59218.11,0.0,0.0,,-40.42989
1,10,2.0,1,20.52,33.3,26.78,-30150.82,94699.99,0.0,-1427.5,,-978.9279200000001
1,11,2.0,1,23.31,39.01,28.17,-49000.0,121864.63,0.0,-2591.26,,-1599.32906
