ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
97,1,1.00,1,4.60,11627.38,11607.26,0.0,0.00,0.0,-0.0,,0.0
97,2,1.00,1,4.30,11632.03,11612.56,0.0,0.00,0.0,-0.0,,0.0
97,3,1.00,1,3.80,11636.46,11617.62,0.0,0.00,0.0,-0.0,,0.0
97,4,1.00,1,3.30,11640.72,11622.48,0.0,0.00,0.0,-0.0,,0.0
97,5,1.00,1,2.80,11644.81,11627.15,0.0,0.00,0.0,-0.0,,0.0
97,6,1.00,1,2.40,11648.76,11631.66,0.0,0.00,0.0,-0.0,,0.0
97,7,1.00,1,2.00,11652.56,11636.00,0.0,0.00,0.0,-0.0,,0.0
97,8,1.00,1,1.80,11525.56,11489.90,-7500.0,0.00,0.0,-13851.36,,-21351.36
97,9,1.00,1,1.50,11505.88,11467.22,-7500.0,0.00,0.0,-13848.57,,-21348.57
97,10,1.00,1,1.30,11497.89,11457.99,-7500.0,0.00,0.0,-13847.16,,-21347.16
97,11,1.00,1,1.70,11491.61,11450.71,-7500.0,0.00,0.0,-13847.61,,-21347.61
97,12,1.00,1,3.50,11486.07,11444.23,-7500.0,0.00,0.0,-13846.79,,-21346.79
97,13,1.00,1,6.70,11481.16,11438.43,-7500.0,0.00,0.0,-13848.63,,-21348.629999999997
97,14,1.00,1,10.00,11476.64,11433.06,-7500.0,0.00,0.0,-13849.86,,-21349.86
97,15,1.00,1,12.30,11472.26,11427.85,-7500.0,0.00,0.0,-13847.46,,-21347.46
97,16,1.00,1,13.50,11467.92,11422.73,-7500.0,0.00,0.0,-13847.47,,-21347.47
97,17,1.00,1,13.90,11463.62,11417.68,-7500.0,0.00,0.0,-13849.72,,-21349.72
97,18,1.00,1,13.40,11459.33,11412.66,-7500.0,0.00,0.0,-13854.1,,-21354.1
97,19,1.00,1,12.30,11584.56,11556.63,0.0,0.00,0.0,-0.0,,0.0
97,20,1.00,1,10.90,11603.76,11578.68,0.0,0.00,0.0,-0.0,,0.0
97,21,1.00,1,9.10,11611.07,11587.07,0.0,0.00,0.0,-0.0,,0.0
97,22,1.00,1,7.00,11616.66,11593.50,0.0,0.00,0.0,-0.0,,0.0
97,23,1.00,1,5.40,11621.87,11599.49,0.0,0.00,0.0,-0.0,,0.0
97,24,1.00,1,4.40,11626.91,11605.28,0.0,0.00,0.0,-0.0,,0.0
97,1,2.00,1,3.90,11631.83,11610.90,0.0,0.00,0.0,-0.0,,0.0
97,2,2.00,1,3.40,11636.55,11616.31,0.0,0.00,0.0,-0.0,,0.0
97,3,2.00,1,2.50,11641.02,11621.43,0.0,0.00,0.0,-0.0,,0.0
97,4,2.00,1,1.80,11645.33,11626.36,0.0,0.00,0.0,-0.0,,0.0
97,5,2.00,1,1.30,11649.49,11631.13,0.0,0.00,0.0,-0.0,,0.0
97,6,2.00,1,0.90,11653.52,11635.73,0.0,0.00,0.0,-0.0,,0.0
97,7,2.00,1,0.70,11657.44,11640.21,0.0,0.00,0.0,-0.0,,0.0
97,8,2.00,1,0.90,11530.53,11494.23,-7500.0,0.00,0.0,-13841.56,,-21341.559999999998
97,9,2.00,1,1.10,11511.03,11471.75,-7500.0,0.00,0.0,-13837.95,,-21337.95
97,10,2.00,1,1.20,11503.21,11462.70,-7500.0,0.00,0.0,-13834.28,,-21334.28
97,11,2.00,1,1.90,11497.09,11455.61,-7500.0,0.00,0.0,-13830.3,,-21330.3
97,12,2.00,1,4.20,11491.75,11449.35,-7500.0,0.00,0.0,-13827.76,,-21327.760000000002
97,13,2.00,1,7.60,11487.00,11443.72,-7500.0,0.00,0.0,-13815.69,,-21315.690000000002
97,14,2.00,1,10.50,11482.52,11438.40,-7500.0,0.00,0.0,-13809.07,,-21309.07
