ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
129,1,1.00,1,14.93,26.43,22.57,0.0,0.00,0.0,0.0,,0.0
129,2,1.00,1,14.00,24.13,20.93,0.0,0.00,0.0,0.0,,0.0
129,3,1.00,1,13.08,22.09,19.43,0.0,0.00,0.0,0.0,,0.0
129,4,1.00,1,12.32,20.28,18.08,0.0,0.00,0.0,0.0,,0.0
129,5,1.00,1,13.49,19.07,17.24,0.0,0.00,0.0,-0.0,,0.0
129,6,1.00,1,13.74,18.08,16.57,0.0,0.00,0.0,-0.0,,0.0
129,7,1.00,1,14.53,17.46,16.21,0.0,25.84,0.0,-0.0,,0.0
129,8,1.00,1,15.95,22.74,21.83,32.79,2787.54,0.0,0.0,,32.79
129,9,1.00,1,18.40,26.89,26.18,0.0,2429.36,0.0,0.0,,0.0
129,10,1.00,1,20.78,29.76,26.83,-1484.72,1698.66,0.0,-48.85,,-1533.57
129,11,1.00,1,23.31,31.68,26.83,-1909.91,994.15,0.0,-388.51,,-2298.42
129,12,1.00,1,25.08,33.80,26.83,-2455.9,1199.32,0.0,-491.18,,-2947.08
129,13,1.00,1,26.47,35.77,26.83,-2795.37,1252.48,0.0,-393.52,,-3188.89
129,14,1.00,1,27.71,37.47,26.83,-3002.77,1231.18,0.0,-267.42,,-3270.19
129,15,1.00,1,29.22,39.14,26.83,-3277.73,1221.41,0.0,-376.46,,-3654.19
129,16,1.00,1,29.86,40.52,26.83,-3395.88,1172.03,0.0,-258.53,,-3654.41
129,17,1.00,1,28.94,41.25,26.83,-3216.22,1115.03,0.0,-216.26,,-3432.4799999999996
129,18,1.00,1,27.73,41.30,26.83,-2858.96,942.68,0.0,-319.45,,-3178.41
129,19,1.00,1,25.92,41.02,30.01,0.0,1661.41,0.0,0.0,,0.0
129,20,1.00,1,23.63,40.81,31.95,0.0,2068.12,0.0,0.0,,0.0
129,21,1.00,1,20.98,37.13,29.85,0.0,0.00,0.0,0.0,,0.0
129,22,1.00,1,19.50,33.88,27.87,0.0,0.00,0.0,0.0,,0.0
129,23,1.00,1,17.68,30.89,25.92,0.0,0.00,0.0,0.0,,0.0
129,24,1.00,1,16.50,28.25,24.13,0.0,0.00,0.0,0.0,,0.0
129,1,2.00,1,15.06,25.82,22.40,0.0,0.00,0.0,0.0,,0.0
129,2,2.00,1,14.08,23.66,20.83,0.0,0.00,0.0,0.0,,0.0
129,3,2.00,1,13.29,21.75,19.40,0.0,0.00,0.0,0.0,,0.0
129,4,2.00,1,12.61,20.06,18.11,0.0,0.00,0.0,-0.0,,0.0
129,5,2.00,1,13.29,18.83,17.22,0.0,0.00,0.0,-0.0,,0.0
129,6,2.00,1,13.55,17.85,16.52,0.0,0.00,0.0,-0.0,,0.0
129,7,2.00,1,13.70,17.10,15.99,0.0,25.84,0.0,-0.0,,0.0
129,8,2.00,1,15.19,22.28,21.83,249.58,2787.54,0.0,0.0,,249.58
129,9,2.00,1,16.96,26.19,25.76,0.0,2429.36,0.0,0.0,,0.0
129,10,2.00,1,19.11,28.82,26.83,-1028.76,1698.66,0.0,-48.88,,-1077.64
129,11,2.00,1,21.17,30.46,26.83,-1506.42,994.15,0.0,-375.21,,-1881.63
