ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
179.000000 1.000000 1.000000 1.000000 2882.938132 0.004456 0.010803 0.000000 0.000000 -0.000000
179.000000 2.000000 1.000000 1.000000 2820.389535 0.004359 0.010564 0.000000 0.000000 -0.000000
179.000000 3.000000 1.000000 1.000000 2765.931644 0.004274 0.010357 0.000000 0.000000 -0.000000
179.000000 4.000000 1.000000 1.000000 2741.372271 0.004236 0.010264 0.000000 0.000000 -0.000000
179.000000 5.000000 1.000000 1.000000 2721.074155 0.004204 0.010186 0.000000 0.000000 -0.000000
179.000000 6.000000 1.000000 1.000000 2716.252698 0.004197 0.010168 0.000000 0.000000 -0.000000
179.000000 7.000000 1.000000 1.000000 2720.468486 0.004203 0.010184 0.000000 0.000000 -0.000000
179.000000 8.000000 1.000000 1.000000 2986.366687 0.004617 0.011197 0.011197 0.000000 -132.135163
179.000000 9.000000 1.000000 1.000000 3232.027280 0.005000 0.012136 0.012038 0.000000 0.000000
179.000000 10.000000 1.000000 1.000000 3445.273576 0.005333 0.012954 0.012534 0.000000 0.000000
179.000000 11.000000 1.000000 1.000000 3641.911990 0.005640 0.013710 0.013462 0.000000 0.000000
179.000000 12.000000 1.000000 1.000000 3754.049894 0.005815 0.014141 0.014128 0.000000 0.000000
179.000000 13.000000 1.000000 1.000000 3695.664590 0.005724 0.013916 0.013916 0.000000 -726.195845
179.000000 14.000000 1.000000 1.000000 3666.910405 0.005679 0.013806 0.013806 0.000000 -593.481951
179.000000 15.000000 1.000000 1.000000 3641.273117 0.005639 0.013707 0.013592 0.000000 0.000000
179.000000 16.000000 1.000000 1.000000 3619.488394 0.005605 0.013623 0.013592 0.000000 0.000000
179.000000 17.000000 1.000000 1.000000 3607.660212 0.005586 0.013578 0.012605 0.000000 0.000000
179.000000 18.000000 1.000000 1.000000 3607.703787 0.005586 0.013578 0.012343 0.000000 0.000000
179.000000 19.000000 1.000000 1.000000 3518.922059 0.005448 0.013237 0.000000 0.000000 0.000000
179.000000 20.000000 1.000000 1.000000 3391.342242 0.005248 0.012747 0.000000 0.000000 0.000000
179.000000 21.000000 1.000000 1.000000 3261.271394 0.005046 0.012248 0.000000 0.000000 0.000000
179.000000 22.000000 1.000000 1.000000 3161.919690 0.004891 0.011868 0.000000 0.000000 0.000000
179.000000 23.000000 1.000000 1.000000 3094.753834 0.004786 0.011611 0.000000 0.000000 -0.000000
179.000000 24.000000 1.000000 1.000000 3029.280920 0.004684 0.011361 0.000000 0.000000 -0.000000
179.000000 1.000000 2.000000 1.000000 2976.647322 0.004602 0.011160 0.000000 0.000000 -0.000000
179.000000 2.000000 2.000000 1.000000 2926.215450 0.004523 0.010968 0.000000 0.000000 -0.000000
179.000000 3.000000 2.000000 1.000000 2873.142287 0.004441 0.010766 0.000000 0.000000 -0.000000
179.000000 4.000000 2.000000 1.000000 2822.594920 0.004362 0.010573 0.000000 0.000000 -0.000000
179.000000 5.000000 2.000000 1.000000 2781.346310 0.004298 0.010416 0.000000 0.000000 -0.000000
179.000000 6.000000 2.000000 1.000000 2745.444559 0.004242 0.010279 0.000000 0.000000 -0.000000
179.000000 7.000000 2.000000 1.000000 2712.220122 0.004190 0.010153 0.000000 0.000000 0.000000
179.000000 8.000000 2.000000 1.000000 2930.421218 0.004530 0.010984 0.010700 0.000000 0.000000
179.000000 9.000000 2.000000 1.000000 3149.026755 0.004871 0.011819 0.011304 0.000000 0.000000
179.000000 10.000000 2.000000 1.000000 3344.788345 0.005176 0.012568 0.011717 0.000000 0.000000
179.000000 11.000000 2.000000 1.000000 3514.527221 0.005441 0.013220 0.012429 0.000000 0.000000
179.000000 12.000000 2.000000 1.000000 3649.244984 0.005651 0.013738 0.012783 0.000000 0.000000
179.000000 13.000000 2.000000 1.000000 3714.921251 0.005754 0.013991 0.013879 0.000000 0.000000
179.000000 14.000000 2.000000 1.000000 3667.619156 0.005680 0.013808 0.013808 0.000000 -426.872289
179.000000 15.000000 2.000000 1.000000 3630.956810 0.005623 0.013667 0.013667 0.000000 -190.137749
179.000000 16.000000 2.000000 1.000000 3598.606066 0.005572 0.013543 0.013543 0.000000 -406.638976
179.000000 17.000000 2.000000 1.000000 3583.213839 0.005548 0.013484 0.013484 0.000000 -405.249257
179.000000 18.000000 2.000000 1.000000 3584.925690 0.005551 0.013490 0.013451 0.000000 0.000000
179.000000 19.000000 2.000000 1.000000 3593.944230 0.005565 0.013525 0.000000 0.000000 0.000000
179.000000 20.000000 2.000000 1.000000 3487.303735 0.005398 0.013115 0.000000 0.000000 0.000000
