ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
227.000000 1.000000 1.000000 1.000000 3145.377337 0.004865 0.011805 0.000000 0.000000 0.000000
227.000000 2.000000 1.000000 1.000000 3076.642302 0.004758 0.011542 0.000000 0.000000 0.000000
227.000000 3.000000 1.000000 1.000000 3013.708339 0.004660 0.011302 0.000000 0.000000 0.000000
227.000000 4.000000 1.000000 1.000000 2989.143008 0.004621 0.011208 0.000000 0.000000 0.000000
227.000000 5.000000 1.000000 1.000000 2960.081936 0.004576 0.011097 0.000000 0.000000 0.000000
227.000000 6.000000 1.000000 1.000000 2949.829452 0.004560 0.011058 0.000000 0.000000 0.000000
227.000000 7.000000 1.000000 1.000000 2947.328527 0.004556 0.011048 0.000000 0.000000 0.000000
227.000000 8.000000 1.000000 1.000000 3179.672315 0.004918 0.011936 0.011936 0.000000 -150.510574
227.000000 9.000000 1.000000 1.000000 3411.452709 0.005280 0.012824 0.012757 0.000000 0.000000
227.000000 10.000000 1.000000 1.000000 3611.995045 0.005593 0.013594 0.013099 0.000000 0.000000
227.000000 11.000000 1.000000 1.000000 3806.622769 0.005897 0.014344 0.014199 0.000000 0.000000
227.000000 12.000000 1.000000 1.000000 3719.599787 0.005761 0.014009 0.014009 0.000000 -339.823139
227.000000 13.000000 1.000000 1.000000 3641.037644 0.005638 0.013706 0.013706 0.000000 -895.946143
227.000000 14.000000 1.000000 1.000000 3578.226041 0.005540 0.013465 0.013465 0.000000 -835.690074
227.000000 15.000000 1.000000 1.000000 3524.254114 0.005456 0.013257 0.013257 0.000000 -206.698132
227.000000 16.000000 1.000000 1.000000 3478.552762 0.005385 0.013082 0.013082 0.000000 -327.557973
227.000000 17.000000 1.000000 1.000000 3442.597690 0.005328 0.012944 0.012371 0.000000 0.000000
227.000000 18.000000 1.000000 1.000000 3418.002176 0.005290 0.012849 0.012462 0.000000 0.000000
227.000000 19.000000 1.000000 1.000000 3581.695481 0.005546 0.013478 0.000000 0.000000 0.000000
227.000000 20.000000 1.000000 1.000000 3545.636066 0.005489 0.013339 0.000000 0.000000 0.000000
227.000000 21.000000 1.000000 1.000000 3487.963625 0.005399 0.013118 0.000000 0.000000 0.000000
