Nombre_Archivo,Nro_Filas,Radiacion Global Horizontal[label: GHI] [W/m2],Radiacion Directa Normal[label: DNI] [W/m2],Radiacion Difusa[label: DIF] [W/m2],Temperatura en 2 metros (Corejida)[label: Temp] [C]
ecu_la_troncal_la_troncal_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_las_naves_las_naves_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_latacunga_latacunga_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_loja_loja_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_machala_machala_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_manta_manta_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_mira_mira_18_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_pallatanga_pallatanga_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_pedernales_pedernales_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_portoviejo_portoviejo_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_quevedo_quevedo_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_quito_quito_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_riobamba_riobamba_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_salinas_ibarra_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_san_miguel_de_ibarra_ibarra_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_santa_isabel_santa_isabel_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_santa_rosa_santa_rosa_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_tena_tena_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_zamora_zamora_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
ecu_zaruma_zaruma_18_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_abancay_abancay_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_arequipa_arequipa_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_ayacucho_huamanga_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_chachapoyas_chachapoyas_12_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_chaupimarca_pasco_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_cusco_cusco_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
per_huancavelica_huancavelica_16_09_2025.processed.parquet,8760,Sí,No,No,Sí
