ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
117.000000 1.000000 1.000000 1.000000 4077787313.897202 -0.622062 -0.622026 -0.000000 0.000000 -0.000000
117.000000 2.000000 1.000000 1.000000 4135202462.932920 -0.622061 -0.622025 -0.000000 0.000000 -0.000000
117.000000 3.000000 1.000000 1.000000 4188000234.555714 -0.622060 -0.622025 -0.000000 0.000000 -0.000000
117.000000 4.000000 1.000000 1.000000 4236605958.240612 -0.622060 -0.622025 -0.000000 0.000000 -0.000000
117.000000 5.000000 1.000000 1.000000 4281364482.327991 -0.622059 -0.622025 -0.000000 0.000000 -0.000000
117.000000 6.000000 1.000000 1.000000 4322587079.638855 -0.622058 -0.622024 -0.000000 0.000000 -0.000000
117.000000 7.000000 1.000000 1.000000 4360565741.973807 -0.622058 -0.622024 -0.000000 0.000000 -0.000000
117.000000 8.000000 1.000000 1.000000 6789549.968564 -0.661487 -0.637865 -0.637865 0.000000 -322887.692629
117.000000 9.000000 1.000000 1.000000 3435849.899202 -0.705185 -0.654152 -0.654152 0.000000 -330830.987573
117.000000 10.000000 1.000000 1.000000 3206525.790007 -0.711995 -0.656579 -0.656579 0.000000 -331627.688081
117.000000 11.000000 1.000000 1.000000 3143786.912337 -0.714057 -0.657309 -0.657309 0.000000 -332055.170654
117.000000 12.000000 1.000000 1.000000 3098100.589451 -0.715619 -0.657859 -0.657859 0.000000 -332463.240804
117.000000 13.000000 1.000000 1.000000 3057550.654491 -0.717050 -0.658363 -0.658363 0.000000 -332803.022245
117.000000 14.000000 1.000000 1.000000 3020682.590390 -0.718390 -0.658833 -0.658833 0.000000 -332968.407639
117.000000 15.000000 1.000000 1.000000 2987050.894889 -0.719646 -0.659272 -0.659272 0.000000 -333015.621228
117.000000 16.000000 1.000000 1.000000 2956466.636504 -0.720816 -0.659681 -0.659681 0.000000 -333328.254290
117.000000 17.000000 1.000000 1.000000 2928736.055538 -0.721902 -0.660060 -0.660060 0.000000 -333563.883848
117.000000 18.000000 1.000000 1.000000 2903535.455687 -0.722910 -0.660411 -0.660411 0.000000 -333694.900440
117.000000 19.000000 1.000000 1.000000 1499708090.008553 -0.622168 -0.622070 -0.000000 0.000000 -0.000000
117.000000 20.000000 1.000000 1.000000 3213113510.652395 -0.622078 -0.622033 -0.000000 0.000000 -0.000000
117.000000 21.000000 1.000000 1.000000 3698803272.307858 -0.622068 -0.622028 -0.000000 0.000000 -0.000000
117.000000 22.000000 1.000000 1.000000 3854509702.440031 -0.622065 -0.622027 -0.000000 0.000000 -0.000000
117.000000 23.000000 1.000000 1.000000 3942388904.841075 -0.622064 -0.622027 -0.000000 0.000000 -0.000000
117.000000 24.000000 1.000000 1.000000 4012895805.361358 -0.622063 -0.622026 -0.000000 0.000000 -0.000000
117.000000 1.000000 2.000000 1.000000 4075813041.288038 -0.622062 -0.622026 -0.000000 0.000000 -0.000000
117.000000 2.000000 2.000000 1.000000 4133360167.553846 -0.622061 -0.622025 -0.000000 0.000000 -0.000000
117.000000 3.000000 2.000000 1.000000 4186276191.790954 -0.622060 -0.622025 -0.000000 0.000000 -0.000000
117.000000 4.000000 2.000000 1.000000 4234997939.933829 -0.622060 -0.622025 -0.000000 0.000000 -0.000000
117.000000 5.000000 2.000000 1.000000 4279864936.521466 -0.622059 -0.622025 -0.000000 0.000000 -0.000000
117.000000 6.000000 2.000000 1.000000 4321184276.008997 -0.622058 -0.622024 -0.000000 0.000000 -0.000000
117.000000 7.000000 2.000000 1.000000 4359251875.849152 -0.622058 -0.622024 -0.000000 0.000000 -0.000000
117.000000 8.000000 2.000000 1.000000 6787869.116977 -0.661498 -0.637870 -0.637870 0.000000 -322778.512267
117.000000 9.000000 2.000000 1.000000 3435038.898537 -0.705207 -0.654160 -0.654160 0.000000 -330614.956047
117.000000 10.000000 2.000000 1.000000 3205736.675494 -0.712020 -0.656588 -0.656588 0.000000 -331305.711738
117.000000 11.000000 2.000000 1.000000 3143039.114383 -0.714082 -0.657318 -0.657318 0.000000 -331729.448859
117.000000 12.000000 2.000000 1.000000 3097494.247890 -0.715640 -0.657867 -0.657867 0.000000 -332264.151263
