ID_Recinto,Hora,Dia,Mes,Temperatura_exterior,Temperatura_operativa_free_float,Temperatura_operativa_con_clima,Demanda,Sol,G_HU,G_DHU,x_int_aire,demanda_total
27,1,1.00,1,0.30,2.50,5.21,0.0,0.00,0.0,-0.0,,0.0
27,2,1.00,1,-0.10,2.22,4.68,0.0,0.00,0.0,-0.0,,0.0
27,3,1.00,1,-0.30,1.97,4.20,0.0,0.00,0.0,-0.0,,0.0
27,4,1.00,1,-0.40,1.75,3.77,0.0,0.00,0.0,-0.0,,0.0
27,5,1.00,1,-0.60,1.54,3.38,0.0,0.00,0.0,-0.0,,0.0
27,6,1.00,1,-0.60,1.35,3.04,0.0,0.00,0.0,-0.0,,0.0
27,7,1.00,1,-0.70,1.19,2.72,0.0,0.00,0.0,-0.0,,0.0
27,8,1.00,1,-0.80,2.24,17.00,56370.34,0.00,4789.27,0.0,,1895.9479099999999
27,9,1.00,1,-0.90,2.53,17.00,43920.79,0.00,2737.69,0.0,,1446.41288
27,10,1.00,1,-1.00,2.66,17.00,41494.46,0.00,2234.71,0.0,,1355.60427
27,11,1.00,1,-0.80,2.82,17.00,39313.61,0.00,1716.24,0.0,,1271.9253499999998
27,12,1.00,1,0.00,3.12,17.00,36920.63,0.00,977.72,0.0,,1174.8488499999999
27,13,1.00,1,1.30,3.56,17.00,34269.41,0.00,0.0,0.0,,1062.3517100000001
27,14,1.00,1,2.80,4.11,17.00,31542.26,0.00,0.0,0.0,,977.8100599999999
27,15,1.00,1,4.30,4.72,17.00,28880.96,0.00,0.0,0.0,,895.30976
27,16,1.00,1,5.40,5.28,17.00,26643.02,0.00,0.0,0.0,,825.93362
27,17,1.00,1,6.00,5.74,17.00,24954.71,0.00,0.0,0.0,,773.59601
27,18,1.00,1,5.90,6.03,17.00,24041.09,0.00,0.0,0.0,,745.2737900000001
27,19,1.00,1,5.30,4.53,10.77,0.0,0.00,0.0,-0.0,,0.0
27,20,1.00,1,4.60,4.01,8.85,0.0,0.00,0.0,-0.0,,0.0
27,21,1.00,1,3.80,3.70,7.88,0.0,0.00,0.0,-0.0,,0.0
27,22,1.00,1,2.90,3.42,7.14,0.0,0.00,0.0,-0.0,,0.0
27,23,1.00,1,2.00,3.13,6.47,0.0,0.00,0.0,-0.0,,0.0
27,24,1.00,1,1.50,2.86,5.88,0.0,0.00,0.0,-0.0,,0.0
27,1,2.00,1,1.30,2.61,5.34,0.0,0.00,0.0,-0.0,,0.0
27,2,2.00,1,1.00,2.38,4.86,0.0,0.00,0.0,-0.0,,0.0
27,3,2.00,1,0.60,2.15,4.40,0.0,0.00,0.0,-0.0,,0.0
27,4,2.00,1,0.20,1.93,3.98,0.0,0.00,0.0,-0.0,,0.0
27,5,2.00,1,-0.20,1.71,3.58,0.0,0.00,0.0,-0.0,,0.0
27,6,2.00,1,-0.40,1.51,3.22,0.0,0.00,0.0,-0.0,,0.0
27,7,2.00,1,-0.50,1.33,2.89,0.0,0.00,0.0,-0.0,,0.0
27,8,2.00,1,-0.60,2.39,17.00,55674.28,0.00,4556.04,0.0,,1867.1399199999998
27,9,2.00,1,-0.70,2.67,17.00,43387.32,0.00,2556.66,0.0,,1424.2633799999999
27,10,2.00,1,-0.80,2.81,17.00,41003.86,0.00,2068.3,0.0,,1335.2369600000002
27,11,2.00,1,-0.70,2.94,17.00,38949.38,0.00,1607.75,0.0,,1257.27103
27,12,2.00,1,-0.10,3.18,17.00,36778.66,0.00,979.34,0.0,,1170.498
27,13,2.00,1,0.90,3.54,17.00,34456.03,0.00,172.47,0.0,,1073.4835
